,name,external_id,external_id_source,lat,lng,address,minimum_age,url
302,The Enchanted Dragon on Speedway,545547542249091,facebook_places,32.2364308,-110.9022433,0.2mi,,https://www.instagram.com/explore/locations/545547542249091
303,Tucson Appliance Company,124318167618673,facebook_places,32.23645,-110.9026,"0.2mi · 4229 E Speedway Blvd, Tucson, AZ",,https://www.instagram.com/explore/locations/124318167618673
304,Christopher Columbus Park,548059385384074,facebook_places,32.24062,-110.91156,"0.6mi · Tucson, AZ",,https://www.instagram.com/explore/locations/548059385384074
305,Midtown Mercantile Merchants,1660892390842919,facebook_places,32.23671,-110.89817,"0.4mi · 4443 E Speedway Blvd, Tucson",,https://www.instagram.com/explore/locations/1660892390842919
306,Yun Gee Park,1634548976818406,facebook_places,32.2339783,-110.9024887,"0.1mi · 4226 E 2nd St, Tucson, Arizona",,https://www.instagram.com/explore/locations/1634548976818406
307,U of a Softball Stadium,130948246976274,facebook_places,32.235902,-110.90168,"0.2mi · Tucson, AZ",,https://www.instagram.com/explore/locations/130948246976274
308,Tanque Verde Swapmeet,130546633687848,facebook_places,32.13481838,-110.91767438,"6.9mi · Tucson, Arizona",,https://www.instagram.com/explore/locations/130546633687848
309,Old Towne Tattoo Parlour,445025882579238,facebook_places,32.2359,-110.90176,"0.2mi · 4240 E Speedway Blvd, Tucson, Arizona",,https://www.instagram.com/explore/locations/445025882579238
310,Speedway/Alvernon,193473047375230,facebook_places,32.238115950597,-110.91027095447,0.4mi,,https://www.instagram.com/explore/locations/193473047375230
311,Skate Country East,2252635865064143,facebook_places,32.224509132212,-110.9100408482,"0.7mi · East 22nd St, Tucson, Arizona",,https://www.instagram.com/explore/locations/2252635865064143
312,Tito & Pep,609521062419555,facebook_places,32.235894,-110.904621,"0.1mi · 4122 E Speedway Blvd , Tucson, Arizona",,https://www.instagram.com/explore/locations/609521062419555
313,Dond3 Tu No 3Stas,171525896358877,facebook_places,32.240188184707,-110.90687520348,0.5mi,,https://www.instagram.com/explore/locations/171525896358877
314,Lucky Strike Bowl,100890139959402,facebook_places,32.2364993,-110.9067842,"0.2mi · 4015 E Speedway Blvd, Tucson, Arizona",,https://www.instagram.com/explore/locations/100890139959402
315,Korea House,153689748027598,facebook_places,32.2360048,-110.9063938,0.2mi · 4030 E Speedway Blvd,,https://www.instagram.com/explore/locations/153689748027598
316,Wild Katz - Children's Adventure Playground,104955687532197,facebook_places,32.237311255875,-110.89429557323,"0.6mi · 4629 E. Speedway Blvd, Tucson, Arizona",,https://www.instagram.com/explore/locations/104955687532197
317,Alvernon Park,130756416968502,facebook_places,32.2308333,-110.9077778,0.3mi · 701 N Longfellow Ave,,https://www.instagram.com/explore/locations/130756416968502
318,Gear Shifters AZ,118131797836270,facebook_places,32.235418093293,-110.89926899503,"0.3mi · 1045 N Catalina Ave, Tucson, AZ",,https://www.instagram.com/explore/locations/118131797836270
319,Saguaro Miraflores,952787431427136,facebook_places,32.246093316075,-111.03277200456,"0.2mi · Saguaro Miraflores, Tucson",,https://www.instagram.com/explore/locations/952787431427136
320,King Canyon Trail,2089066544684103,facebook_places,32.24541,-111.03704,"0.2mi · W Saguaro West Trl, Tucson, AZ",,https://www.instagram.com/explore/locations/2089066544684103
321,Club Coffee Gullette,277111986498306,facebook_places,32.250034570282,-111.03191868967,0.3mi,,https://www.instagram.com/explore/locations/277111986498306
322,Tucson and Taos Balloon Rides,103213175804,facebook_places,,,,,https://www.instagram.com/explore/locations/103213175804
323,Tucson Mountain Foothills,2175320859249843,facebook_places,32.243621540162,-111.03276300311,0.3mi,,https://www.instagram.com/explore/locations/2175320859249843
324,Casa de Milo,839653766117295,facebook_places,32.25082,-111.01231,"1.4mi · 2114 W Grant Rd, Tucson, AZ",,https://www.instagram.com/explore/locations/839653766117295
325,Starpass Resort,170532753077014,facebook_places,32.261310042843,-111.01703211675,1.4mi,,https://www.instagram.com/explore/locations/170532753077014
